date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:05:03	12198/12198	---MCZ	200	added ('OK')	text/html	etag:W/%225df10ce1-2fa6%22	https://themeforest.devarts.cf/bootex/vivid/index-particles.html	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/index-particles.html	(from )
00:05:04	245/245	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Sep%202020%2018:35:04%20GMT	https://themeforest.devarts.cf/robots.txt		(from )
00:05:04	16958/16958	---M--	200	added ('OK')	image/x-icon	etag:%225df11049-423e%22	https://themeforest.devarts.cf/bootex/vivid/img/favicon.ico	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/img/favicon.ico	(from https://themeforest.devarts.cf/bootex/vivid/index-particles.html)
00:05:05	144877/144877	---MCZ	200	added ('OK')	text/css	etag:W/%225df11022-235ed%22	https://themeforest.devarts.cf/bootex/vivid/css/bootstrap.min.css	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/css/bootstrap.min.css	(from https://themeforest.devarts.cf/bootex/vivid/index-particles.html)
00:05:05	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225df11024-7918%22	https://themeforest.devarts.cf/bootex/vivid/css/font-awesome.min.css	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/css/font-awesome.min.css	(from https://themeforest.devarts.cf/bootex/vivid/index-particles.html)
00:05:06	16450/16450	---MCZ	200	added ('OK')	text/css	etag:W/%225df11029-4042%22	https://themeforest.devarts.cf/bootex/vivid/css/themify-icons.css	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/css/themify-icons.css	(from https://themeforest.devarts.cf/bootex/vivid/index-particles.html)
00:05:06	54877/54877	---MCZ	200	added ('OK')	text/css	etag:W/%225df11021-d65d%22	https://themeforest.devarts.cf/bootex/vivid/css/animate.min.css	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/css/animate.min.css	(from https://themeforest.devarts.cf/bootex/vivid/index-particles.html)
00:05:06	5302/5302	---MCZ	200	added ('OK')	text/css	etag:W/%225df11025-14b6%22	https://themeforest.devarts.cf/bootex/vivid/css/magnific-popup.css	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/css/magnific-popup.css	(from https://themeforest.devarts.cf/bootex/vivid/index-particles.html)
00:05:07	2936/2936	---MCZ	200	added ('OK')	text/css	etag:W/%225df11026-b78%22	https://themeforest.devarts.cf/bootex/vivid/css/owl.carousel.min.css	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/css/owl.carousel.min.css	(from https://themeforest.devarts.cf/bootex/vivid/index-particles.html)
00:05:07	15648/15648	---MCZ	200	added ('OK')	text/css	etag:W/%225df11029-3d20%22	https://themeforest.devarts.cf/bootex/vivid/css/style.css	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/css/style.css	(from https://themeforest.devarts.cf/bootex/vivid/index-particles.html)
00:05:08	4279/4279	---M--	200	added ('OK')	image/png	etag:%225df11052-10b7%22	https://themeforest.devarts.cf/bootex/vivid/img/sign.png	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/img/sign.png	(from https://themeforest.devarts.cf/bootex/vivid/index-particles.html)
00:05:08	111764/111764	---M--	200	added ('OK')	image/jpeg	etag:%225df1104b-1b494%22	https://themeforest.devarts.cf/bootex/vivid/img/me.jpg	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/img/me.jpg	(from https://themeforest.devarts.cf/bootex/vivid/index-particles.html)
00:05:08	31992/31992	---M--	200	added ('OK')	image/jpeg	etag:%225df111ad-7cf8%22	https://themeforest.devarts.cf/bootex/vivid/img/works/1.jpg	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/img/works/1.jpg	(from https://themeforest.devarts.cf/bootex/vivid/index-particles.html)
00:05:09	40976/40976	---M--	200	added ('OK')	image/jpeg	etag:%225df111af-a010%22	https://themeforest.devarts.cf/bootex/vivid/img/works/2.jpg	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/img/works/2.jpg	(from https://themeforest.devarts.cf/bootex/vivid/index-particles.html)
00:05:10	55770/55770	---M--	200	added ('OK')	image/jpeg	etag:%225df111b1-d9da%22	https://themeforest.devarts.cf/bootex/vivid/img/works/4.jpg	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/img/works/4.jpg	(from https://themeforest.devarts.cf/bootex/vivid/index-particles.html)
00:05:10	117114/117114	---M--	200	added ('OK')	image/jpeg	etag:%225df111af-1c97a%22	https://themeforest.devarts.cf/bootex/vivid/img/works/3.jpg	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/img/works/3.jpg	(from https://themeforest.devarts.cf/bootex/vivid/index-particles.html)
00:05:11	21478/21478	---M--	200	added ('OK')	image/jpeg	etag:%225df111b3-53e6%22	https://themeforest.devarts.cf/bootex/vivid/img/works/6.jpg	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/img/works/6.jpg	(from https://themeforest.devarts.cf/bootex/vivid/index-particles.html)
00:05:11	81625/81625	---M--	200	added ('OK')	image/jpeg	etag:%225df111b3-13ed9%22	https://themeforest.devarts.cf/bootex/vivid/img/works/7.jpg	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/img/works/7.jpg	(from https://themeforest.devarts.cf/bootex/vivid/index-particles.html)
00:05:13	84345/84345	---MCZ	200	added ('OK')	application/javascript	etag:W/%225df1105f-14979%22	https://themeforest.devarts.cf/bootex/vivid/js/jquery-2.1.4.min.js	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/js/jquery-2.1.4.min.js	(from https://themeforest.devarts.cf/bootex/vivid/index-particles.html)
00:05:13	131983/131983	---M--	200	added ('OK')	image/jpeg	etag:%225df111b5-2038f%22	https://themeforest.devarts.cf/bootex/vivid/img/works/8.jpg	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/img/works/8.jpg	(from https://themeforest.devarts.cf/bootex/vivid/index-particles.html)
00:05:13	2558/2558	---MCZ	200	added ('OK')	application/javascript	etag:W/%225df1105f-9fe%22	https://themeforest.devarts.cf/bootex/vivid/js/jquery.nav.min.js	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/js/jquery.nav.min.js	(from https://themeforest.devarts.cf/bootex/vivid/index-particles.html)
00:05:14	40847/40847	---MCZ	200	added ('OK')	application/javascript	etag:W/%225df1105c-9f8f%22	https://themeforest.devarts.cf/bootex/vivid/js/isotope.pkgd.min.js	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/js/isotope.pkgd.min.js	(from https://themeforest.devarts.cf/bootex/vivid/index-particles.html)
00:05:14	42766/42766	---MCZ	200	added ('OK')	application/javascript	etag:W/%225df11064-a70e%22	https://themeforest.devarts.cf/bootex/vivid/js/owl.carousel.min.js	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/js/owl.carousel.min.js	(from https://themeforest.devarts.cf/bootex/vivid/index-particles.html)
00:05:14	20216/20216	---MCZ	200	added ('OK')	application/javascript	etag:W/%225df11061-4ef8%22	https://themeforest.devarts.cf/bootex/vivid/js/magnific-popup.min.js	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/js/magnific-popup.min.js	(from https://themeforest.devarts.cf/bootex/vivid/index-particles.html)
00:05:15	23364/23364	---MCZ	200	added ('OK')	application/javascript	etag:W/%225df11063-5b44%22	https://themeforest.devarts.cf/bootex/vivid/js/particles.min.js	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/js/particles.min.js	(from https://themeforest.devarts.cf/bootex/vivid/index-particles.html)
00:05:15	2406/2406	---MCZ	200	added ('OK')	application/javascript	etag:W/%225df1105a-966%22	https://themeforest.devarts.cf/bootex/vivid/js/init-particles.js	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/js/init-particles.js	(from https://themeforest.devarts.cf/bootex/vivid/index-particles.html)
00:05:15	8415/8415	---MCZ	200	added ('OK')	application/javascript	etag:W/%225df11065-20df%22	https://themeforest.devarts.cf/bootex/vivid/js/wow.min.js	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/js/wow.min.js	(from https://themeforest.devarts.cf/bootex/vivid/index-particles.html)
00:05:16	3032/3032	---MCZ	200	added ('OK')	application/javascript	etag:W/%225df11066-bd8%22	https://themeforest.devarts.cf/bootex/vivid/js/scripts.js	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/js/scripts.js	(from https://themeforest.devarts.cf/bootex/vivid/index-particles.html)
00:05:17	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225df11032-2876e%22	https://themeforest.devarts.cf/bootex/vivid/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/fonts/fontawesome-webfont3e6e.eot	(from https://themeforest.devarts.cf/bootex/vivid/css/font-awesome.min.css)
00:05:18	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%225df11038-12d68%22	https://themeforest.devarts.cf/bootex/vivid/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/fonts/fontawesome-webfont3e6e.woff2	(from https://themeforest.devarts.cf/bootex/vivid/css/font-awesome.min.css)
00:05:18	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225df11032-2876e%22	https://themeforest.devarts.cf/bootex/vivid/fonts/fontawesome-webfont.eot?	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/fonts/fontawesome-webfontd41d.eot	(from https://themeforest.devarts.cf/bootex/vivid/css/font-awesome.min.css)
00:05:19	98024/98024	---M--	200	added ('OK')	application/x-font-woff	etag:%225df1103a-17ee8%22	https://themeforest.devarts.cf/bootex/vivid/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/fonts/fontawesome-webfont3e6e.woff	(from https://themeforest.devarts.cf/bootex/vivid/css/font-awesome.min.css)
00:05:19	165548/165548	---M--	200	added ('OK')	application/x-font-ttf	etag:%225df11036-286ac%22	https://themeforest.devarts.cf/bootex/vivid/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/fonts/fontawesome-webfont3e6e.ttf	(from https://themeforest.devarts.cf/bootex/vivid/css/font-awesome.min.css)
00:05:20	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225df1103c-1339c%22	https://themeforest.devarts.cf/bootex/vivid/fonts/themify.eot?-fvbane	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/fonts/themify9f24.eot	(from https://themeforest.devarts.cf/bootex/vivid/css/themify-icons.css)
00:05:20	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225df11034-6c7db%22	https://themeforest.devarts.cf/bootex/vivid/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/fonts/fontawesome-webfont3e6e.svg	(from https://themeforest.devarts.cf/bootex/vivid/css/font-awesome.min.css)
00:05:20	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225df1103c-1339c%22	https://themeforest.devarts.cf/bootex/vivid/fonts/themify.eot?	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/fonts/themifyd41d.eot	(from https://themeforest.devarts.cf/bootex/vivid/css/themify-icons.css)
00:05:20	56108/56108	---M--	200	added ('OK')	application/x-font-woff	etag:%225df11040-db2c%22	https://themeforest.devarts.cf/bootex/vivid/fonts/themify.woff?-fvbane	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/fonts/themify9f24.woff	(from https://themeforest.devarts.cf/bootex/vivid/css/themify-icons.css)
00:05:21	78584/78584	---M--	200	added ('OK')	application/x-font-ttf	etag:%225df1103e-132f8%22	https://themeforest.devarts.cf/bootex/vivid/fonts/themify.ttf?-fvbane	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/fonts/themify9f24.ttf	(from https://themeforest.devarts.cf/bootex/vivid/css/themify-icons.css)
00:05:21	234269/234269	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225df11040-3931d%22	https://themeforest.devarts.cf/bootex/vivid/fonts/themify.svg?-fvbane	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/fonts/themify9f24.svg	(from https://themeforest.devarts.cf/bootex/vivid/css/themify-icons.css)
00:05:21	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Sep%202020%2018:35:21%20GMT	https://themeforest.devarts.cf/bootex/vivid/css/owl.video.play.png	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/css/owl.video.play.png	(from https://themeforest.devarts.cf/bootex/vivid/css/owl.carousel.min.css)
00:05:22	93898/93898	---M--	200	added ('OK')	image/jpeg	etag:%225df11055-16eca%22	https://themeforest.devarts.cf/bootex/vivid/img/text-bg.jpg	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/img/text-bg.jpg	(from https://themeforest.devarts.cf/bootex/vivid/css/style.css)
00:05:23	47091/47091	---M--	200	added ('OK')	image/png	etag:%225df11050-b7f3%22	https://themeforest.devarts.cf/bootex/vivid/img/overlay.png	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/img/overlay.png	(from https://themeforest.devarts.cf/bootex/vivid/css/style.css)
00:05:23	886602/886602	---M--	200	added ('OK')	image/jpeg	etag:%225df1104b-d874a%22	https://themeforest.devarts.cf/bootex/vivid/img/bg.jpg	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/img/bg.jpg	(from https://themeforest.devarts.cf/bootex/vivid/css/style.css)
00:05:24	171465/171465	---M--	200	added ('OK')	image/jpeg	etag:%225df11051-29dc9%22	https://themeforest.devarts.cf/bootex/vivid/img/service-bg.jpg	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/img/service-bg.jpg	(from https://themeforest.devarts.cf/bootex/vivid/css/style.css)
00:05:24	300974/300974	---M--	200	added ('OK')	image/png	etag:%225df11054-497ae%22	https://themeforest.devarts.cf/bootex/vivid/img/test-bg.png	C:/Users/ABISHEK%20RAGHAVAN/Desktop/varuna's%20website/varunaaa/themeforest.devarts.cf/bootex/vivid/img/test-bg.png	(from https://themeforest.devarts.cf/bootex/vivid/css/style.css)
